date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
17/05/2024;;07/06/2024;12:30;A;Charpennes;Esc. 2102;Empilement de marches;Panne;escalier;2024;;;2102.0
18/05/2024;02:03;20/05/2024;18:38;C;Croix rousse;Esc. 5701;Probleme de survitesse;Panne;escalier;2024;64.58333333333333;2.690972222222222;5701.0
22/05/2024;08:04;23/05/2024;18:10;D;Garibaldi;Asc. 772;Probleme porte suite objet bloqué ;Mauvaise utilisation;ascenseur;2024;34.1;1.4208333333333334;772.0
23/05/2024;17:56;24/05/2024;18:22;T4;Manufacture ;Asc. 971;Défaut cellule porte ;Panne;ascenseur;2024;24.433333333333334;1.0180555555555555;971.0
24/05/2024;00:00;27/05/2024;12:50;D;Gare de Vénissieux;Asc. 702;Courroie HS ;Panne;ascenseur;2024;84.83333333333333;3.534722222222222;702.0
24/05/2024;17:00;26/05/2024;11:43;D;Bellecour;Esc. 2605;Suite basket coincée revision + reglages+ controles ;Mauvaise utilisation;escalier;2024;42.71666666666667;1.7798611111111111;2605.0
25/05/2024;14:00;28/05/2024;11:30;A;République;Esc. 2002;Plaque porte peigne NOK;Mauvaise utilisation;escalier;2024;69.5;2.8958333333333335;2002.0
26/05/2024;05:32;28/05/2024;11:15;D;Guillotière ;Asc. 791;Probleme d'alim asc;Panne;ascenseur;2024;53.71666666666667;2.2381944444444444;791.0
26/05/2024;21:21;27/05/2024;18:00;D;Valmy;Asc. 831;Rupture soupape - fuite d'huile centrale hydraulique;Panne;ascenseur;2024;20.65;0.8604166666666666;831.0
26/05/2024;02:17;27/05/2024;10:22;D;Valmy;Esc. 8302;Problemes frein ;Panne;escalier;2024;32.083333333333336;1.3368055555555556;8302.0
27/05/2024;18:37;28/05/2024;15:25;D;Gare de Vénissieux;Asc. 701;Pb porte cabine ;Vandalisme ;ascenseur;2024;20.8;0.8666666666666667;701.0
27/05/2024;00:27;05/08/2024;12:31;D;Saxe Gambetta ;Esc. 4406;Défaut entrée main courante (haut droite);Vandalisme ;escalier;2024;1692.0666666666666;70.50277777777778;4406.0
27/05/2024;10:07;16/07/2024;14:46;D;Garibaldi;Esc. 7704;Piste de galet de chaine HS ;Usure;escalier;2024;1204.65;50.19375;7704.0
31/05/2024;11:20;19/07/2024;09:53;A;Hotel de Ville ;Esc. 2401;Roulements arbre principal haut HS;Usure;escalier;2024;1174.55;48.93958333333333;2401.0
31/05/2024;05:10;02/06/2024;05:17;D;Valmy;Esc. 8302;Problemes frein ;Panne;escalier;2024;48.11666666666667;2.004861111111111;8302.0
31/05/2024;17:32;03/06/2024;13:00;T4;Manufacture ;Esc. 9701 ; DP HS;Panne;escalier;2024;67.46666666666667;2.8111111111111113;9701.0
01/06/2024;10:25;03/06/2024;05:20;D;Laennec;Esc. 7301;Défaut Peigne ;Usure;escalier;2024;42.916666666666664;1.7881944444444444;7301.0
01/06/2024;10:30;02/06/2024;11:43;D;Garibaldi;Esc. 7702;Defaut peigne;Panne;escalier;2024;25.216666666666665;1.0506944444444444;7702.0
05/06/2024;08:20;06/06/2024;11:26;D;Grange Blanche ;Asc. 741;Poulie HS;Panne;ascenseur;2024;27.1;1.1291666666666667;741.0
06/06/2024;;09/11/2024;;B;Debourg;Esc. 4701;Empilement de marches - Arbre d'entrainement bas HS;Usure;escalier;2024;;;4701.0
08/06/2024;14:45;07/10/2024;14:30;B;Part Dieu;Esc. 4207;Roulements de l’arbre d’entrainement des chaines de marches HS;Usure;escalier;2024;2903.75;120.98958333333333;4207.0
09/06/2024;09:21;14/06/2024;14:00;A;Cusset;Esc. 1701;Plaque porte peigne affaissée;Usure;escalier;2024;124.65;5.1937500000000005;1701.0
09/06/2024;10:23;11/06/2024;09:39;D;Mermoz;Esc. 7202;Affaissement de marches;Usure;escalier;2024;47.266666666666666;1.9694444444444443;7202.0
10/06/2024;11:20;14/06/2024;20:40;B;Gerland;Esc. 4803;Probleme capteurs soulement de marches ;Mauvaise utilisation;escalier;2024;105.33333333333333;4.388888888888888;4803.0
10/06/2024;09:22;11/06/2024;10:45;D;Guillotière ;Esc. 7902;Affaissement de marches;Usure;escalier;2024;25.383333333333333;1.0576388888888888;7902.0
13/06/2024;05:00;15/06/2024;16:36;D;Laennec;Esc. 7301;Probleme tension chaine de marche ;Usure;escalier;2024;59.6;2.4833333333333334;7301.0
14/06/2024;21:14;25/06/2024;05:34;A;Laurent Bonnevay;Esc. 1602;Plaque porte peigne HS;Usure;escalier;2024;248.33333333333334;10.347222222222223;1602.0
14/06/2024;13:00;19/06/2024;12:00;A;Charpennes;Esc. 2101;Probleme bobine frein de secour;Panne;escalier;2024;119.0;4.958333333333333;2101.0
14/06/2024;18:45;17/06/2024;20:00;T4;Manufacture ;Esc. 9701 ;Defaut synchro main courante;Panne;escalier;2024;73.25;3.0520833333333335;9701.0
17/06/2024;08:00;18/06/2024;14:50;C;Hénon;Esc. 5801;"Remplacement chaine entrainement 
main courante + moteur";Usure;escalier;2024;30.833333333333332;1.284722222222222;5801.0
18/06/2024;16:05;20/06/2024;09:30;D;Parilly;Asc. 712;Probleme sur l'alimentation de l'asc - personnes bloqués ;Panne;ascenseur;2024;41.416666666666664;1.7256944444444444;712.0
18/06/2024;19:23;20/06/2024;05:11;A;La Soie ;Esc. 1502;Boitier ECD HS;Panne;escalier;2024;33.8;1.4083333333333332;1502.0
20/06/2024;17:29;21/06/2024;15:51;D;Gorge de loup;Asc. 821;Cablette porte cabine HS ;Usure;ascenseur;2024;22.366666666666667;0.9319444444444445;821.0
21/06/2024;20:42;24/06/2024;18:22;D;Parilly;Asc. 712;Probleme de ventilation LMA - Asc se met en surchauffe;Panne;ascenseur;2024;69.66666666666667;2.902777777777778;712.0
21/06/2024;13:57;24/06/2024;08:41;B;Oullins centre ;Esc. 5105;Galets de crosse HS;Usure;escalier;2024;66.73333333333333;2.7805555555555554;5105.0
22/06/2024;17:05;27/06/2024;15:00;B;Jean jaures;Asc. 461;Infiltration d'eau en machinerie HS;Panne;ascenseur;2024;117.91666666666667;4.913194444444445;461.0
24/06/2024;14:00;24/06/2024;14:31;A;Bellecour;Asc.264;Visite RATP;;ascenseur;2024;0.5166666666666667;0.02152777777777778;264.0
24/06/2024;10:07;24/06/2024;10:49;A;Flachet ;Esc. 1802;Visite RATP;;escalier;2024;0.7;0.029166666666666664;1802.0
24/06/2024;12:00;24/06/2024;12:44;A;République;Esc. 2002;Visite RATP;;escalier;2024;0.7333333333333333;0.030555555555555555;2002.0
24/06/2024;14:59;24/06/2024;15:40;A;Bellecour;Esc. 2610;Visite RATP;;escalier;2024;0.6833333333333333;0.02847222222222222;2610.0
24/06/2024;16:11;25/06/2024;16:45;A;Bellecour;Esc. 2612;Visite RATP - Probleme guide de main courante ;Usure;escalier;2024;24.566666666666666;1.023611111111111;2612.0
25/06/2024;15:39;27/06/2024;20:22;D;Parilly;Asc. 712;Probleme sur l'alimentation de l'asc - personnes bloqués - SNEF avisé pour intervention;Panne;ascenseur;2024;52.71666666666667;2.196527777777778;712.0
25/06/2024;09:23;25/06/2024;09:40;D;Laennec;Asc. 731;Visite RATP;;ascenseur;2024;0.2833333333333333;0.011805555555555555;731.0
25/06/2024;11:37;25/06/2024;12:00;D;Garibaldi;Asc. 771;Visite RATP;;ascenseur;2024;0.38333333333333336;0.015972222222222224;771.0
25/06/2024;04:50;17/08/2024;;B;Gerland;Esc. 4803;Galets de chaine HS ;Usure;escalier;2024;;;4803.0
25/06/2024;10:08;13/07/2024;;D;Laennec;Esc. 7301;Visite RATP - Paliers arbre de retournement HS;Usure;escalier;2024;;;7301.0
25/06/2024;12:41;25/06/2024;13:34;D;Garibaldi;Esc. 7702;Visite RATP;;escalier;2024;0.8833333333333333;0.03680555555555556;7702.0
26/06/2024;16:27;26/06/2024;18:24;A;Charpennes;Asc. 211;Fixation plafond cabine NOK;Panne;ascenseur;2024;1.95;0.08125;211.0
26/06/2024;15:00;27/06/2024;11:16;B;Part Dieu;Esc. 4204;Visite RATP - Jeux entre marches et plinthe;Usure;escalier;2024;20.266666666666666;0.8444444444444444;4204.0
26/06/2024;12:00;27/06/2024;12:10;B;Saxe Gambetta ;Esc. 4403;Visite RATP - problemes brosses + jeux marches;Usure;escalier;2024;24.166666666666668;1.0069444444444444;4403.0
26/06/2024;10:54;26/06/2024;11:10;D;Saxe Gambetta ;Esc. 4408;Visite RATP;;escalier;2024;0.26666666666666666;0.011111111111111112;4408.0
26/06/2024;09:35;26/06/2024;11:04;B;Oullins gare ;Esc. 5002;Visite RATP;;escalier;2024;1.4833333333333334;0.06180555555555556;5002.0
27/06/2024;16:54;30/06/2024;21:05;D;Mermoz;Asc. 722 ;operateur de porte NOK;Panne;ascenseur;2024;76.18333333333334;3.1743055555555557;722.0
28/06/2024;04:40;30/06/2024;08:51;D;Gare de vaise;Esc. 8404;Acces fermé grille HS;****;escalier;2024;52.18333333333333;2.1743055555555553;8404.0
29/06/2024;06:15;30/06/2024;06:18;D;Garibaldi;Esc. 7702;Defaut peigne;Panne;escalier;2024;24.05;1.0020833333333334;7702.0
03/07/2024;17:42;11/07/2024;11:46;B;Jean jaures;Asc. 461;Courroie operateur + coulisseaux + contact porte HS + Probleme parachute enclenché + reglages portes;Usure;ascenseur;2024;186.06666666666666;7.752777777777777;461.0
04/07/2024;08:30;08/07/2024;15:48;B;Oullins Centre ;Esc. 5105;"Pb adherence MC probleme depuis mise en route
idem sur 5107 OCE ";Panne;escalier;2024;103.3;4.304166666666666;5105.0
04/07/2024;09:26;04/07/2024;10:34;D;Guillotière ;Esc. 7903;Chaine de main courante gauche HS - Remplacée;Usure;escalier;2024;1.1333333333333333;0.04722222222222222;7903.0
05/07/2024;10:48;30/09/2024;;A;Masséna ;Esc. 2201;Roulements de l’arbre d’entrainement HS;Usure;escalier;2024;;;2201.0
08/07/2024;10:36;12/07/2024;11:24;D;Mermoz;Asc. 722 ;Disjoncteur HS ;Panne;ascenseur;2024;96.8;4.033333333333333;722.0
08/07/2024;16:20;12/07/2024;10:51;B;Part Dieu;Esc. 4206;Bobine de commande de frein principal HS;Panne;escalier;2024;90.51666666666667;3.7715277777777776;4206.0
08/07/2024;10:55;16/07/2024;19:02;T4;Manufacture ;Esc. 9701 ;Cellule DP HS ;Panne;escalier;2024;200.11666666666667;8.338194444444445;9701.0
09/07/2024;04:56;10/07/2024;14:12;D;Vieux Lyon;Esc. 8105;Defaut peigne ;Usure;escalier;2024;33.266666666666666;1.386111111111111;8105.0
10/07/2024;09:04;14/07/2024;11:41;B;Gare de Vénissieux;Asc. 702;Opérateur porte HS;Panne;ascenseur;2024;98.61666666666666;4.1090277777777775;702.0
12/07/2024;17:23;14/07/2024;14:15;D;Valmy;Asc. 831;Probleme sur operateur de porte ;Mauvaise utilisation;ascenseur;2024;44.86666666666667;1.8694444444444445;831.0
15/07/2024;13:40;17/07/2024;11:07;D;Mermoz;Asc. 722 ;Poulie HS;Panne;ascenseur;2024;45.45;1.89375;722.0
20/07/2024;17:46;26/07/2024;04:45;A;Gratte Ciel;Esc. 1901;Travaux sur chaine de marche bryuante;Usure;escalier;2024;130.98333333333332;5.457638888888888;1901.0
22/07/2024;10:00;30/09/2024;;A;Masséna ;Esc. 2202;Roulements de l’arbre d’entrainement HS;Panne;escalier;2024;;;2202.0
23/07/2024;19:10;05/08/2024;11:50;B;Part Dieu;Esc. 4205;Main courante Gauche HS ;Usure;escalier;2024;304.6666666666667;12.694444444444445;4205.0
25/07/2024;16:39;28/07/2024;10:33;A;Hotel de Ville ;Esc. 2401;Bobine de frein HS;Panne;escalier;2024;65.9;2.7458333333333336;2401.0
25/07/2024;12:25;08/12/2024;;A;Bellecour;Esc. 2612;Tourteau haut + chaine de marches;Panne;escalier;2024;;;2612.0
25/07/2024;20:02;01/08/2024;08:49;B;Oullins Centre ;Esc. 5107;Frein de secour HS ;Panne;escalier;2024;156.78333333333333;6.532638888888889;5107.0
